id,dname,coordinate,
1,WONG TAI SIN,"22.35, 114.18333",
2,KOWLOON CITY,"114.186529254 ,22.3260336959",
3,KWUN TONG,"114.219602455, 22.3038021181",
4,SAI KUNG,"114.26667, 22.38333",
5,NORTH,"114.12895, 22.50166",
6,CENTRAL & WESTERN,"114.15072273, 22.28499386",
7,WAN CHAI,"114.18096, 22.28066",
8,EASTERN,"114.249063, 22.267434",
9,TUEN MUN,"113.97157, 22.400723",
10,YUEN LONG,"114.022146578, 22.4400132399",
11,SOUTHERN,"114.15333272, 22.23833238",
12,ISLANDS,"113.918480, 22.308046",
13,SHAM SHUI PO,"114.1621, 22.33183",
14,YAU TSIM MONG,"114.174637, 22.302219",
15,KWAI TSING,"114.100998, 22.344044",
16,TSUEN WAN,"114.11329, 22.37137",
17,TAI PO,"114.16877, 22.45007",
18,SHA TIN,"114.1974, 22.3771",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
