平均風速 (公里/小時) - �����ھ��� 
Mean Wind Speed (km/h) - Hong Kong International Airport 
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,19.0,C
2024,1,2,14.7,C
2024,1,3,14.3,C
2024,1,4,12.3,C
2024,1,5,11.0,C
2024,1,6,8.5,C
2024,1,7,18.2,C
2024,1,8,20.1,C
2024,1,9,10.5,C
2024,1,10,13.8,C
2024,1,11,12.3,C
2024,1,12,11.8,C
2024,1,13,14.8,C
2024,1,14,11.7,C
2024,1,15,15.9,C
2024,1,16,21.5,C
2024,1,17,12.1,C
2024,1,18,9.8,C
2024,1,19,11.8,C
2024,1,20,15.8,C
2024,1,21,12.8,C
2024,1,22,16.8,C
2024,1,23,16.8,C
2024,1,24,14.2,C
2024,1,25,12.2,C
2024,1,26,12.5,C
2024,1,27,13.3,C
2024,1,28,9.7,C
2024,1,29,8.7,C
2024,1,30,11.7,C
2024,1,31,17.2,C
2024,2,1,11.7,C
2024,2,2,14.4,C
2024,2,3,20.7,C
2024,2,4,15.7,C
2024,2,5,10.1,C
2024,2,6,20.4,C
2024,2,7,15.8,C
2024,2,8,11.1,C
2024,2,9,11.8,C
2024,2,10,9.0,C
2024,2,11,11.3,C
2024,2,12,20.7,C
2024,2,13,15.0,C
2024,2,14,11.2,C
2024,2,15,9.0,C
2024,2,16,16.6,C
2024,2,17,21.0,C
2024,2,18,16.4,C
2024,2,19,13.5,C
2024,2,20,17.8,C
2024,2,21,13.7,C
2024,2,22,13.0,C
2024,2,23,10.4,C
2024,2,24,13.8,C
2024,2,25,15.0,C
2024,2,26,13.3,C
2024,2,27,12.9,C
2024,2,28,12.8,C
2024,2,29,14.8,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
