平均風速 (公里/小時) - �y�B�s
Mean Wind Speed (km/h) - Lau Fau Shan
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2024,1,1,13.3,C
2024,1,2,10.3,C
2024,1,3,17.3,C
2024,1,4,11.6,C
2024,1,5,9.4,C
2024,1,6,8.5,C
2024,1,7,13.8,C
2024,1,8,11.8,C
2024,1,9,9.0,C
2024,1,10,15.2,C
2024,1,11,10.4,C
2024,1,12,8.6,C
2024,1,13,9.8,C
2024,1,14,8.8,C
2024,1,15,12.1,C
2024,1,16,15.3,C
2024,1,17,11.0,C
2024,1,18,8.9,C
2024,1,19,8.7,C
2024,1,20,13.4,C
2024,1,21,13.4,C
2024,1,22,21.3,C
2024,1,23,21.1,#
2024,1,24,***,
2024,1,25,12.4,#
2024,1,26,12.9,C
2024,1,27,11.0,C
2024,1,28,11.0,C
2024,1,29,7.5,C
2024,1,30,6.9,C
2024,1,31,9.1,C
2024,2,1,9.2,C
2024,2,2,9.8,C
2024,2,3,12.8,C
2024,2,4,11.3,C
2024,2,5,8.0,C
2024,2,6,12.5,C
2024,2,7,13.2,C
2024,2,8,12.5,C
2024,2,9,13.2,C
2024,2,10,11.9,C
2024,2,11,9.8,C
2024,2,12,15.0,C
2024,2,13,11.0,C
2024,2,14,9.5,C
2024,2,15,9.1,C
2024,2,16,11.7,C
2024,2,17,11.2,C
2024,2,18,15.1,C
2024,2,19,14.0,C
2024,2,20,19.5,C
2024,2,21,12.7,C
2024,2,22,12.4,C
2024,2,23,11.4,C
2024,2,24,15.0,C
2024,2,25,12.8,C
2024,2,26,12.8,C
2024,2,27,12.0,C
2024,2,28,6.6,C
2024,2,29,12.6,C
2024,3,1,21.4,C
2024,3,2,12.5,C
2024,3,3,9.8,C
2024,3,4,17.4,C
2024,3,5,15.4,C
2024,3,6,10.0,C
2024,3,7,12.5,C
2024,3,8,13.3,C
2024,3,9,16.8,C
2024,3,10,13.1,C
2024,3,11,9.4,C
2024,3,12,14.1,C
2024,3,13,16.3,C
2024,3,14,16.0,C
2024,3,15,13.9,C
2024,3,16,11.8,C
2024,3,17,8.0,C
2024,3,18,10.4,C
2024,3,19,15.7,C
2024,3,20,14.4,C
2024,3,21,12.2,C
2024,3,22,17.7,C
2024,3,23,16.4,C
2024,3,24,16.6,C
2024,3,25,11.1,C
2024,3,26,10.3,C
2024,3,27,13.7,C
2024,3,28,9.1,C
2024,3,29,9.8,C
2024,3,30,8.4,#
2024,3,31,***,

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
