Updated Date and Time (in Hong Kong Time),Ending Date and Time (in Hong Kong Time),Latitude (degree),Longitude (degree),Half-hourly Nowcast Accumulated Rainfall (mm)
202312040112,202312040142,23.487,112.956,0.00
202312040112,202312040142,23.487,112.976,0.00
202312040112,202312040142,23.487,112.995,0.00
202312040112,202312040142,23.487,113.015,0.00
202312040112,202312040142,23.487,113.034,0.00
202312040112,202312040142,23.487,113.054,0.00
202312040112,202312040142,23.487,113.073,0.00
202312040112,202312040142,23.487,113.093,0.00
202312040112,202312040142,23.487,113.112,0.00
202312040112,202312040142,23.487,113.131,0.00
202312040112,202312040142,23.487,113.151,0.00
202312040112,202312040142,23.487,113.170,0.00
202312040112,202312040142,23.487,113.190,0.00
202312040112,202312040142,23.487,113.209,0.00
202312040112,202312040142,23.487,113.229,0.00
202312040112,202312040142,23.487,113.248,0.00
202312040112,202312040142,23.487,113.268,0.00
202312040112,202312040142,23.487,113.287,0.00
202312040112,202312040142,23.487,113.307,0.00
202312040112,202312040142,23.487,113.326,0.00
202312040112,202312040142,23.487,113.345,0.00
202312040112,202312040142,23.487,113.365,0.00
202312040112,202312040142,23.487,113.384,0.00
202312040112,202312040142,23.487,113.404,0.00
202312040112,202312040142,23.487,113.423,0.00
202312040112,202312040142,23.487,113.443,0.00
202312040112,202312040142,23.487,113.462,0.00
202312040112,202312040142,23.487,113.482,0.00
202312040112,202312040142,23.487,113.501,0.00
202312040112,202312040142,23.487,113.521,0.00
202312040112,202312040142,23.487,113.540,0.00
202312040112,202312040142,23.487,113.560,0.00
202312040112,202312040142,23.487,113.579,0.00
202312040112,202312040142,23.487,113.598,0.00
202312040112,202312040142,23.487,113.618,0.00
202312040112,202312040142,23.487,113.637,0.00
202312040112,202312040142,23.487,113.657,0.00
202312040112,202312040142,23.487,113.676,0.00
202312040112,202312040142,23.487,113.696,0.00
202312040112,202312040142,23.487,113.715,0.00
202312040112,202312040142,23.487,113.735,0.00
202312040112,202312040142,23.487,113.754,0.00
202312040112,202312040142,23.487,113.774,0.00
202312040112,202312040142,23.487,113.793,0.00
202312040112,202312040142,23.487,113.812,0.00
202312040112,202312040142,23.487,113.832,0.00
202312040112,202312040142,23.487,113.851,0.00
202312040112,202312040142,23.487,113.871,0.00
202312040112,202312040142,23.487,113.890,0.00
202312040112,202312040142,23.487,113.910,0.00
202312040112,202312040142,23.487,113.929,0.00
202312040112,202312040142,23.487,113.949,0.00
202312040112,202312040142,23.487,113.968,0.00
202312040112,202312040142,23.487,113.988,0.00
202312040112,202312040142,23.487,114.007,0.00
202312040112,202312040142,23.487,114.026,0.00
202312040112,202312040142,23.487,114.046,0.00
202312040112,202312040142,23.487,114.065,0.00
202312040112,202312040142,23.487,114.085,0.00
202312040112,202312040142,23.487,114.104,0.00
202312040112,202312040142,23.487,114.124,0.00
202312040112,202312040142,23.487,114.143,0.00
202312040112,202312040142,23.487,114.163,0.00
202312040112,202312040142,23.487,114.182,0.00
202312040112,202312040142,23.487,114.202,0.00
202312040112,202312040142,23.487,114.221,0.00
202312040112,202312040142,23.487,114.240,0.00
202312040112,202312040142,23.487,114.260,0.00
202312040112,202312040142,23.487,114.279,0.00
202312040112,202312040142,23.487,114.299,0.00
202312040112,202312040142,23.487,114.318,0.00
202312040112,202312040142,23.487,114.338,0.00
202312040112,202312040142,23.487,114.357,0.00
202312040112,202312040142,23.487,114.377,0.00
202312040112,202312040142,23.487,114.396,0.00
202312040112,202312040142,23.487,114.416,0.00
202312040112,202312040142,23.487,114.435,0.00
202312040112,202312040142,23.487,114.454,0.00
202312040112,202312040142,23.487,114.474,0.00
202312040112,202312040142,23.487,114.493,0.00
202312040112,202312040142,23.487,114.513,0.00
202312040112,202312040142,23.487,114.532,0.00
202312040112,202312040142,23.487,114.552,0.00
202312040112,202312040142,23.487,114.571,0.00
202312040112,202312040142,23.487,114.591,0.00
202312040112,202312040142,23.487,114.610,0.00
202312040112,202312040142,23.487,114.630,0.00
202312040112,202312040142,23.487,114.649,0.00
202312040112,202312040142,23.487,114.669,0.00
202312040112,202312040142,23.487,114.688,0.00
202312040112,202312040142,23.487,114.707,0.00
202312040112,202312040142,23.487,114.727,0.00
202312040112,202312040142,23.487,114.746,0.00
202312040112,202312040142,23.487,114.766,0.00
202312040112,202312040142,23.487,114.785,0.00
202312040112,202312040142,23.487,114.805,0.00
202312040112,202312040142,23.487,114.824,0.00
