Date,Place,Rainfall (mm),Main
02/05/2024,Central & Western District,0,FALSE
02/05/2024,Eastern District,0,FALSE
02/05/2024,Kwai Tsing,0,FALSE
02/05/2024,Islands District,0,FALSE
02/05/2024,North District,0,FALSE
02/05/2024,Sai Kung,0,FALSE
02/05/2024,Sha Tin,0,FALSE
02/05/2024,Southern District,0,FALSE
02/05/2024,Tai Po,0,FALSE
02/05/2024,Tsuen Wan,0,FALSE
02/05/2024,Tuen Mun,0,FALSE
02/05/2024,Wan Chai,0,FALSE
02/05/2024,Yuen Long,0,FALSE
02/05/2024,Yau Tsim Mong,0,FALSE
02/05/2024,Sham Shui Po,0,FALSE
02/05/2024,Kowloon City,0,FALSE
02/05/2024,Wong Tai Sin,0,FALSE
02/05/2024,Kwun Tong,0,FALSE
