Date,Place,Temperature (°C)
02/05/2024,King's Park,24
02/05/2024,Hong Kong Observatory,25
02/05/2024,Wong Chuk Hang,25
02/05/2024,Ta Kwu Ling,24
02/05/2024,Lau Fau Shan,24
02/05/2024,Tai Po,24
02/05/2024,Sha Tin,25
02/05/2024,Tuen Mun,24
02/05/2024,Tseung Kwan O,24
02/05/2024,Sai Kung,24
02/05/2024,Cheung Chau,24
02/05/2024,Chek Lap Kok,25
02/05/2024,Tsing Yi,25
02/05/2024,Shek Kong,25
02/05/2024,Tsuen Wan Ho Koon,23
02/05/2024,Tsuen Wan Shing Mun Valley,25
02/05/2024,Hong Kong Park,25
02/05/2024,Shau Kei Wan,24
02/05/2024,Kowloon City,24
02/05/2024,Happy Valley,25
02/05/2024,Wong Tai Sin,25
02/05/2024,Stanley,25
02/05/2024,Kwun Tong,24
02/05/2024,Sham Shui Po,25
02/05/2024,Kai Tak Runway Park,25
02/05/2024,Yuen Long Park,24
02/05/2024,Tai Mei Tuk,24
