Month,Date,Time,Height(m),Time,Height(m),Time,Height(m),Time,Height(m)
01,01,0808,0.51,1440,1.51,1808,1.40,,
01,02,0021,2.23,0839,0.62,1519,1.56,1905,1.44
01,03,0055,2.05,0909,0.73,1559,1.63,2029,1.46
01,04,0134,1.83,0941,0.85,1638,1.73,2212,1.41
01,05,0229,1.60,1016,0.97,1713,1.87,,
01,06,0009,1.26,0452,1.40,1055,1.09,1747,2.03
01,07,0134,1.02,0744,1.35,1139,1.19,1823,2.21
01,08,0228,0.77,0909,1.39,1226,1.26,1901,2.39
01,09,0316,0.54,1009,1.45,1315,1.31,1942,2.57
01,10,0401,0.34,1054,1.49,1404,1.32,2027,2.72
01,11,0446,0.19,1134,1.52,1454,1.30,2113,2.83
01,12,0529,0.11,1213,1.53,1545,1.26,2201,2.87
01,13,0612,0.09,1252,1.55,1636,1.21,2250,2.84
01,14,0652,0.14,1331,1.58,1729,1.17,2339,2.72
01,15,0731,0.25,1411,1.62,1825,1.15,,
01,16,0029,2.53,0808,0.40,1453,1.69,1930,1.15
01,17,0121,2.26,0844,0.58,1537,1.78,2053,1.15
01,18,0220,1.94,0919,0.79,1624,1.89,2220,1.09
01,19,0350,1.61,0954,0.99,1713,2.01,2354,0.96
01,20,0603,1.36,1026,1.17,1759,2.13,,
01,21,0134,0.75,1842,2.25,,,,
01,22,0244,0.54,1924,2.35,,,,
01,23,0334,0.37,2004,2.43,,,,
01,24,0417,0.27,1111,1.43,1406,1.35,2045,2.49
01,25,0455,0.22,1130,1.45,1452,1.29,2124,2.51
01,26,0530,0.23,1152,1.46,1535,1.23,2201,2.51
01,27,0602,0.27,1214,1.49,1615,1.17,2236,2.47
01,28,0631,0.33,1235,1.52,1655,1.13,2309,2.40
01,29,0656,0.42,1254,1.55,1735,1.11,2340,2.28
01,30,0717,0.52,1313,1.61,1818,1.11,,
01,31,0012,2.13,0738,0.63,1338,1.68,1905,1.13
02,01,0044,1.94,0759,0.76,1409,1.75,2003,1.14
02,02,0118,1.72,0820,0.89,1447,1.83,2120,1.13
02,03,0202,1.47,0838,1.03,1533,1.92,2251,1.06
02,04,0434,1.24,0847,1.16,1627,2.03,,
02,05,0058,0.88,1725,2.17,,,,
02,06,0214,0.64,1824,2.33,,,,
02,07,0305,0.42,1020,1.45,1250,1.39,1922,2.50
02,08,0349,0.24,1044,1.50,1400,1.32,2017,2.66
02,09,0431,0.12,1112,1.54,1458,1.19,2110,2.77
02,10,0510,0.07,1142,1.58,1552,1.05,2202,2.80
02,11,0546,0.10,1212,1.65,1643,0.92,2252,2.74
02,12,0620,0.20,1243,1.73,1735,0.83,2342,2.58
02,13,0651,0.36,1312,1.82,1829,0.79,,
02,14,0031,2.34,0718,0.55,1341,1.91,1929,0.80
02,15,0120,2.02,0742,0.75,1410,1.99,2040,0.83
02,16,0220,1.67,0802,0.96,1445,2.04,2200,0.84
02,17,0359,1.36,0816,1.14,1536,2.07,2340,0.79
02,18,1652,2.09,,,,,,
02,19,0136,0.63,1811,2.14,,,,
02,20,0239,0.47,1911,2.20,,,,
02,21,0322,0.36,1053,1.47,1325,1.42,2000,2.28
02,22,0358,0.30,1046,1.49,1421,1.30,2043,2.34
02,23,0430,0.29,1055,1.51,1505,1.17,2123,2.37
02,24,0459,0.31,1108,1.56,1544,1.06,2159,2.37
02,25,0526,0.37,1121,1.62,1620,0.96,2233,2.33
02,26,0548,0.44,1134,1.69,1657,0.89,2305,2.26
02,27,0606,0.54,1149,1.78,1735,0.84,2337,2.14
02,28,0622,0.64,1208,1.86,1814,0.83,,
02,29,0010,1.98,0640,0.75,1231,1.94,1857,0.83
03,01,0045,1.79,0658,0.88,1257,2.01,1947,0.84
03,02,0126,1.58,0714,1.01,1327,2.06,2052,0.85
03,03,0241,1.35,0722,1.15,1407,2.09,2214,0.83
03,04,1506,2.11,,,,,,
03,05,0004,0.73,1637,2.17,,,,
03,06,0144,0.54,1800,2.28,,,,
03,07,0238,0.37,1000,1.56,1301,1.42,1911,2.43
03,08,0321,0.24,1012,1.61,1408,1.23,2012,2.57
03,09,0359,0.18,1034,1.68,1503,1.01,2107,2.65
03,10,0435,0.19,1057,1.78,1554,0.79,2201,2.64
03,11,0507,0.28,1119,1.90,1644,0.62,2253,2.53
03,12,0535,0.42,1139,2.04,1735,0.52,2344,2.33
03,13,0600,0.59,1200,2.16,1828,0.49,,
03,14,0037,2.06,0622,0.78,1225,2.25,1925,0.52
03,15,0133,1.77,0643,0.97,1255,2.28,2030,0.59
03,16,0243,1.48,0700,1.14,1329,2.25,2143,0.65
03,17,1414,2.17,2317,0.66,,,,
03,18,1537,2.07,,,,,,
03,19,0103,0.58,1743,2.04,,,,
03,20,0204,0.50,1856,2.08,,,,
03,21,0246,0.44,0959,1.58,1345,1.39,1949,2.14
03,22,0320,0.43,1001,1.62,1430,1.21,2034,2.18
03,23,0349,0.44,1005,1.68,1508,1.05,2114,2.20
03,24,0415,0.49,1013,1.76,1544,0.90,2153,2.19
03,25,0437,0.56,1025,1.87,1618,0.78,2229,2.14
03,26,0455,0.64,1040,1.97,1653,0.68,2306,2.06
03,27,0512,0.73,1059,2.08,1729,0.62,2342,1.94
03,28,0531,0.83,1120,2.18,1808,0.59,,
03,29,0021,1.80,0551,0.94,1144,2.25,1850,0.58
03,30,0108,1.64,0610,1.06,1210,2.29,1940,0.60
03,31,0214,1.47,0624,1.19,1241,2.29,2043,0.62
04,01,1321,2.26,2159,0.62,,,,
04,02,1422,2.21,2329,0.58,,,,
04,03,1608,2.18,,,,,,
04,04,0056,0.48,0907,1.62,1144,1.56,1746,2.24
04,05,0154,0.39,0910,1.69,1307,1.35,1901,2.34
04,06,0237,0.34,0926,1.77,1407,1.07,2004,2.41
04,07,0315,0.36,0944,1.90,1501,0.79,2102,2.42
04,08,0348,0.44,1000,2.06,1552,0.55,2158,2.35
04,09,0417,0.56,1019,2.23,1642,0.38,2255,2.20
04,10,0444,0.71,1043,2.39,1734,0.29,2353,2.01
04,11,0509,0.87,1111,2.49,1827,0.28,,
04,12,0051,1.79,0534,1.03,1141,2.52,1923,0.33
04,13,0150,1.59,0556,1.17,1214,2.47,2022,0.41
04,14,0257,1.42,0609,1.30,1250,2.36,2127,0.50
04,15,1334,2.21,2242,0.56,,,,
04,16,1452,2.05,,,,,,
04,17,0004,0.57,1701,1.96,,,,
04,18,0104,0.56,0905,1.64,1237,1.52,1825,1.95
